q1_activity,q2_destination,q3_pace,q4_accommodation,q5_souvenir,q6_evening,q7_motivation,label
Hiking or adventure sports,Mountains,Always on the move and adventurous,Budget hostels,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Hiking or adventure sports,Villages,Always on the move and adventurous,Budget hostels,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Relaxing on a beach,Beaches,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Romantic dinner by the sea,Relaxation,Relaxation Lover
Relaxing on a beach,Mountains,Relaxed and slow,Luxury resorts,Photos of nature & adventure,Romantic dinner by the sea,Romantic time,Romantic Couple
Visiting museums / monuments,Heritage sites,Balanced with some activity,Luxury resorts,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Visiting temples / spiritual places,Villages,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Nature walks or beaches,Forests,Balanced with some activity,Beachside cottages,Photos of nature & adventure,Relaxing on the beach,Peace / spiritual connection,Nature Lover
Shopping / city exploration,Cities,Balanced with some activity,Luxury resorts,City shopping items,Night market shopping,Urban life / shopping,Shopper / Urban Explorer
Visiting museums / monuments,Heritage sites,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Visiting temples / spiritual places,Villages,Relaxed and slow,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Visiting museums / monuments,Heritage sites,Relaxed and slow,Luxury resorts,Handicrafts / art,Romantic dinner by the sea,Romantic time,Romantic Couple
Shopping / city exploration,Cities,Balanced with some activity,Homestays / local inns,City shopping items,Night market shopping,Urban life / shopping,Shopper / Urban Explorer
Nature walks or beaches,Mountains,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Relaxing on the beach,Peace / spiritual connection,Nature Lover
Hiking or adventure sports,Forests,Always on the move and adventurous,Budget hostels,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Shopping / city exploration,Heritage sites,Balanced with some activity,Luxury resorts,City shopping items,Night market shopping,Urban life / shopping,Shopper / Urban Explorer
Visiting temples / spiritual places,Heritage sites,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Shopping / city exploration,Cities,Always on the move and adventurous,Budget hostels,City shopping items,Night market shopping,Exploring more with less (budget travel),Budget Backpacker
Adventure sports or hiking,Mountains,Always on the move and adventurous,Budget hostels,Photos of nature & adventure,Campfire or trek,Exploring more with less (budget travel),Budget Backpacker
Nature walks or beaches,Forests,Relaxed and slow,Luxury resorts,Photos of nature & adventure,Relaxing on the beach,Relaxation,Relaxation Lover
Adventure sports or hiking,Mountains,Always on the move and adventurous,Homestays / local inns,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Relaxing on a beach,Beaches,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Romantic dinner by the sea,Romantic time,Romantic Couple
Nature walks or beaches,Beaches,Balanced with some activity,Luxury resorts,Photos of nature & adventure,Relaxing on the beach,Family bonding,Family Planner
Nature walks or beaches,Forests,Relaxed and slow,Homestays / local inns,Photos of nature & adventure,Relaxing on the beach,Peace / spiritual connection,Nature Lover
Visiting museums / monuments,Villages,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Exploring local cuisine,Beaches,Balanced with some activity,Homestays / local inns,Local snacks / food items,Trying street food,Food discovery,Foodie
Visiting temples / spiritual places,Mountains,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Visiting museums / monuments,Villages,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Exploring local cuisine,Cities,Relaxed and slow,Homestays / local inns,Local snacks / food items,Trying street food,Food discovery,Foodie
Visiting museums / monuments,Heritage sites,Balanced with some activity,Budget hostels,Handicrafts / art,Exploring temples,Exploring more with less (budget travel),Budget Backpacker
Nature walks or beaches,Forests,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Relaxing on the beach,Peace / spiritual connection,Nature Lover
Exploring local cuisine,Villages,Balanced with some activity,Homestays / local inns,Local snacks / food items,Trying street food,Food discovery,Foodie
Visiting museums / monuments,Heritage sites,Relaxed and slow,Homestays / local inns,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Exploring local cuisine,Cities,Balanced with some activity,Homestays / local inns,Local snacks / food items,Trying street food,Food discovery,Foodie
Visiting temples / spiritual places,Heritage sites,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Nature walks or beaches,Beaches,Balanced with some activity,Budget hostels,Photos of nature & adventure,Relaxing on the beach,Exploring more with less (budget travel),Budget Backpacker
Nature walks or beaches,Beaches,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Relaxing on the beach,Peace / spiritual connection,Nature Lover
Shopping / city exploration,Cities,Relaxed and slow,Luxury resorts,City shopping items,Shopping in city malls,Urban life / shopping,Shopper / Urban Explorer
Relaxing on a beach,Beaches,Relaxed and slow,Beachside cottages,Handicrafts / art,Relaxing on the beach,Relaxation,Relaxation Lover
Relaxing on a beach,Beaches,Relaxed and slow,Luxury resorts,Photos of nature & adventure,Relaxing on the beach,Relaxation,Relaxation Lover
Exploring local cuisine,Mountains,Balanced with some activity,Homestays / local inns,Local snacks / food items,Trying street food,Food discovery,Foodie
Nature walks or beaches,Beaches,Relaxed and slow,Luxury resorts,Photos of nature & adventure,Romantic dinner by the sea,Romantic time,Romantic Couple
Hiking or adventure sports,Mountains,Always on the move and adventurous,Homestays / local inns,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Relaxing on a beach,Beaches,Relaxed and slow,Luxury resorts,Photos of nature & adventure,Relaxing on the beach,Family bonding,Family Planner
Adventure sports or hiking,Mountains,Always on the move and adventurous,Budget hostels,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Exploring local cuisine,Beaches,Relaxed and slow,Beachside cottages,Local snacks / food items,Romantic dinner by the sea,Romantic time,Romantic Couple
Relaxing on a beach,Mountains,Relaxed and slow,Luxury resorts,Photos of nature & adventure,Relaxing on the beach,Relaxation,Relaxation Lover
Relaxing on a beach,Forests,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Relaxing on the beach,Peace / spiritual connection,Nature Lover
Visiting temples / spiritual places,Villages,Balanced with some activity,Luxury resorts,Handicrafts / art,Exploring temples,Family bonding,Family Planner
Shopping / city exploration,Cities,Always on the move and adventurous,Luxury resorts,City shopping items,Night market shopping,Urban life / shopping,Shopper / Urban Explorer
Exploring local cuisine,Villages,Balanced with some activity,Budget hostels,Local snacks / food items,Trying street food,Exploring more with less (budget travel),Budget Backpacker
Shopping / city exploration,Cities,Balanced with some activity,Luxury resorts,City shopping items,Shopping in city malls,Family bonding,Family Planner
Visiting museums / monuments,Cities,Balanced with some activity,Luxury resorts,Handicrafts / art,Shopping in city malls,Family bonding,Family Planner
Visiting temples / spiritual places,Forests,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Visiting museums / monuments,Heritage sites,Balanced with some activity,Luxury resorts,Handicrafts / art,Shopping in city malls,Family bonding,Family Planner
Hiking or adventure sports,Cities,Always on the move and adventurous,Budget hostels,Photos of nature & adventure,Campfire or trek,Exploring more with less (budget travel),Budget Backpacker
Visiting museums / monuments,Beaches,Relaxed and slow,Beachside cottages,Handicrafts / art,Romantic dinner by the sea,Romantic time,Romantic Couple
Visiting museums / monuments,Cities,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Exploring local cuisine,Heritage sites,Balanced with some activity,Homestays / local inns,Local snacks / food items,Trying street food,Food discovery,Foodie
Visiting museums / monuments,Cities,Balanced with some activity,Luxury resorts,City shopping items,Shopping in city malls,Urban life / shopping,Shopper / Urban Explorer
Nature walks or beaches,Beaches,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Relaxing on the beach,Relaxation,Relaxation Lover
